Algorithm,Size,Comparisons,Swaps,Time(microseconds)
Bubble Sort,1000,498372,256368,2868
Insertion Sort,1000,256368,256368,1541
Selection Sort,1000,499500,992,1308
Merge Sort,1000,8697,9976,298
Quick Sort,1000,12067,2357,93
Heap Sort,1000,11679,9094,176
Bubble Sort,2500,3123254,1553882,15299
Insertion Sort,2500,1553882,1553882,8914
Selection Sort,2500,3123750,2492,7607
Merge Sort,2500,25105,28404,785
Quick Sort,2500,32908,6778,260
Heap Sort,2500,34164,26069,461
Bubble Sort,4000,7994084,3999687,35492
Insertion Sort,4000,3999687,3999687,22775
Selection Sort,4000,7998000,3990,19441
Merge Sort,4000,42840,47904,1736
Quick Sort,4000,58332,11313,525
Heap Sort,4000,58611,44240,997
Bubble Sort,5500,15110004,7609626,83513
Insertion Sort,5500,7609626,7609626,43107
Selection Sort,5500,15122250,5489,36627
Merge Sort,5500,61513,68808,1803
Quick Sort,5500,80798,16325,615
Heap Sort,5500,84317,63575,1120
Bubble Sort,7000,24483780,12192705,110013
Insertion Sort,7000,12192705,12192705,69734
Selection Sort,7000,24496500,6993,59514
Merge Sort,7000,80652,89808,2319
Quick Sort,7000,107373,21155,793
Heap Sort,7000,111149,83305,1465
Bubble Sort,8500,36116094,18205214,164505
Insertion Sort,8500,18205214,18205214,103371
Selection Sort,8500,36120750,8486,87668
Merge Sort,8500,100315,111116,2879
Quick Sort,8500,133485,26556,984
Heap Sort,8500,138717,103424,1826
Bubble Sort,10000,49982439,24954793,238516
Insertion Sort,10000,24954793,24954793,141499
Selection Sort,10000,49995000,9989,119878
Merge Sort,10000,120471,133616,3397
Quick Sort,10000,156618,31717,1171
Heap Sort,10000,166207,124148,2158
Bubble Sort,11500,66114497,33187196,326747
Insertion Sort,11500,33187196,33187196,191151
Selection Sort,11500,66119250,11489,160128
Merge Sort,11500,140755,156116,4000
Quick Sort,11500,184737,36756,1340
Heap Sort,11500,194817,145214,2563
Bubble Sort,13000,84490419,42217413,438359
Insertion Sort,13000,42217413,42217413,256790
Selection Sort,13000,84493500,12989,229361
Merge Sort,13000,161401,178616,4534
Quick Sort,13000,216002,42301,1576
Heap Sort,13000,223715,166484,2925
Bubble Sort,14500,105115605,52596350,562247
Insertion Sort,14500,52596350,52596350,303075
Selection Sort,14500,105117750,14485,252453
Merge Sort,14500,182290,201116,5034
Quick Sort,14500,245984,47226,1722
Heap Sort,14500,252943,187792,3351
Bubble Sort,16000,127978797,64012089,714042
Insertion Sort,16000,64012089,64012089,384788
Selection Sort,16000,127992000,15989,342221
Merge Sort,16000,203345,223616,5644
Quick Sort,16000,281308,52817,1933
Heap Sort,16000,282668,209081,3692
Bubble Sort,17500,153106239,77177019,891307
Insertion Sort,17500,77177019,77177019,438888
Selection Sort,17500,153116250,17489,364972
Merge Sort,17500,224676,247232,6176
Quick Sort,17500,293105,58671,2115
Heap Sort,17500,312232,231107,4077
Bubble Sort,19000,180465075,90263016,1074888
Insertion Sort,19000,90263016,90263016,541393
Selection Sort,19000,180490500,18990,441052
Merge Sort,19000,246229,271232,6740
Quick Sort,19000,327329,64567,2343
Heap Sort,19000,342156,253414,4481
Bubble Sort,20500,210111747,105581666,1271840
Insertion Sort,20500,105581666,105581666,641042
Selection Sort,20500,210114750,20486,524636
Merge Sort,20500,268207,295232,7249
Quick Sort,20500,345910,70222,2501
Heap Sort,20500,373249,275843,4871
Bubble Sort,22000,241988790,119980028,1484304
Insertion Sort,22000,119980028,119980028,686382
Selection Sort,22000,241989000,21990,582208
Merge Sort,22000,290003,319232,10073
Quick Sort,22000,427818,74138,2814
Heap Sort,22000,403624,298522,5297
Bubble Sort,23500,276106695,139121904,1716824
Insertion Sort,23500,139121904,139121904,844810
Selection Sort,23500,276113250,23491,679686
Merge Sort,23500,312091,343232,8483
Quick Sort,23500,401043,81799,2962
Heap Sort,23500,434329,321016,5709
Bubble Sort,25000,312460704,155296979,1987943
Insertion Sort,25000,155296979,155296979,1019297
Selection Sort,25000,312487500,24987,770996
Merge Sort,25000,334011,367232,9112
Quick Sort,25000,527319,84892,3201
Heap Sort,25000,465746,343834,6079
Bubble Sort,26500,351093795,175545651,2215008
Insertion Sort,26500,175545651,175545651,998006
Selection Sort,26500,351111750,26488,830499
Merge Sort,26500,356416,391232,9537
Quick Sort,26500,472850,92578,3311
Heap Sort,26500,497031,366538,6453
Bubble Sort,28000,391983789,197086693,2498493
Insertion Sort,28000,197086693,197086693,1123128
Selection Sort,28000,391986000,27995,926360
Merge Sort,28000,378589,415232,10071
Quick Sort,28000,481129,99608,3483
Heap Sort,28000,528181,389199,6868
Bubble Sort,29500,435074204,218123376,2795329
Insertion Sort,29500,218123376,218123376,1338527
Selection Sort,29500,435110250,29485,1050532
Merge Sort,29500,401028,439232,10636
Quick Sort,29500,548800,103707,3686
Heap Sort,29500,559915,412155,7294
Bubble Sort,31000,480483174,239706821,3282907
Insertion Sort,31000,239706821,239706821,1386550
Selection Sort,31000,480484500,30978,1132855
Merge Sort,31000,423574,463232,11797
Quick Sort,31000,563145,110500,4124
Heap Sort,31000,592287,435273,7689
Bubble Sort,32500,528105264,262081602,3426484
Insertion Sort,32500,262081602,262081602,1535115
Selection Sort,32500,528108750,32488,1293166
Merge Sort,32500,446028,487232,12479
Quick Sort,32500,613937,116219,4168
Heap Sort,32500,625056,458246,8111
Bubble Sort,34000,577980299,289679781,4000441
Insertion Sort,34000,289679781,289679781,1673019
Selection Sort,34000,577983000,33988,1367105
Merge Sort,34000,469059,512464,12462
Quick Sort,34000,634965,122126,4368
Heap Sort,34000,656389,481704,8499
Bubble Sort,35500,630101894,314197212,4200586
Insertion Sort,35500,314197212,314197212,4139747
Selection Sort,35500,630107250,35486,6501787
Merge Sort,35500,491919,537964,19348
Quick Sort,35500,659426,128055,83626
Heap Sort,35500,688229,505253,11904
Bubble Sort,37000,684406422,340599664,19085854
Insertion Sort,37000,340599664,340599664,8496523
Selection Sort,37000,684481500,36988,6624086
Merge Sort,37000,515192,563464,88214
Quick Sort,37000,680356,134181,4708
Heap Sort,37000,721195,529421,86183
Bubble Sort,38500,741085850,371087631,20608340
Insertion Sort,38500,371087631,371087631,8788638
Selection Sort,38500,741105750,38485,7210705
Merge Sort,38500,538565,588964,92978
Quick Sort,38500,713677,140118,5627
Heap Sort,38500,752932,552718,11044
Bubble Sort,40000,799950110,401366594,22181868
Insertion Sort,40000,401366594,401366594,10500855
Selection Sort,40000,799980000,39980,7798570
Merge Sort,40000,561750,614464,15718
Quick Sort,40000,741461,146605,79632
Heap Sort,40000,784981,576556,10197
Bubble Sort,41500,861102539,434212896,24190576
Insertion Sort,41500,434212896,434212896,10200739
Selection Sort,41500,861104250,41489,8321663
Merge Sort,41500,585038,639964,93480
Quick Sort,41500,788443,151310,81278
Heap Sort,41500,817947,600597,10652
Bubble Sort,43000,924473844,462992054,25213201
Insertion Sort,43000,462992054,462992054,11578399
Selection Sort,43000,924478500,42981,8901904
Merge Sort,43000,608466,665464,15991
Quick Sort,43000,805627,158850,80006
Heap Sort,43000,850835,624746,11197
Bubble Sort,44500,990089220,496086264,27599997
Insertion Sort,44500,496086264,496086264,11591609
Selection Sort,44500,990102750,44487,9602900
Merge Sort,44500,631714,690964,91997
Quick Sort,44500,820316,166137,5814
Heap Sort,44500,883664,648931,11519
Bubble Sort,46000,1057951349,528204465,29096488
Insertion Sort,46000,528204465,528204465,12887288
Selection Sort,46000,1057977000,45988,10218216
Merge Sort,46000,655574,716464,91613
Quick Sort,46000,882489,170453,5947
Heap Sort,46000,917354,673042,87399
Bubble Sort,47500,1128078459,565025202,32912510
Insertion Sort,47500,565025202,565025202,14687256
Selection Sort,47500,1128101250,47491,11517696
Merge Sort,47500,678927,741964,94701
Quick Sort,47500,947816,173985,81219
Heap Sort,47500,950161,697066,13055
Bubble Sort,49000,1200467244,600041054,34394399
Insertion Sort,49000,600041054,600041054,14211251
Selection Sort,49000,1200475500,48983,11396125
Merge Sort,49000,702163,767464,92719
Quick Sort,49000,950128,183075,6402
Heap Sort,49000,984908,721303,88224
Bubble Sort,50500,1275065559,639293610,35101261
Insertion Sort,50500,639293610,639293610,15112171
Selection Sort,50500,1275099750,50486,12191079
Merge Sort,50500,726386,792964,93596
Quick Sort,50500,980747,189320,6701
Heap Sort,50500,1017280,745404,13241
Bubble Sort,52000,1351959465,674297928,37179771
